time,x_F_body_mean,x_F_body_median,y_F_body_mean,y_F_body_median,n_F_body_mean,n_F_body_median,x_F_earth_mean,x_F_earth_median,y_F_earth_mean,y_F_earth_median,n_F_earth_mean,n_F_earth_median
17.25,11.292568371651727,11.420299580255394,-39.882844139455926,-39.947035859226816,22.52219079477793,22.337011846633864,38.85941264122667,38.78937621244902,-14.425997535059961,-14.361863999162543,22.52219079477792,22.337011846633864
17.5,10.88184027692667,10.785919597780518,-40.087879077204136,-40.03876704817621,21.94070392810719,22.44000838353608,39.08263876818495,39.11579393747106,-14.071241770271746,-14.073112360927375,21.940703928107197,22.44000838353608
17.75,10.743217267030932,10.828155719368748,-40.69895918270053,-40.854730587164944,20.8142705833519,21.205476224796676,39.79715568606109,39.955442850680654,-13.711615314598705,-13.688531355612291,20.814270583351913,21.205476224796676
18.0,10.544292821218376,10.554570916870615,-41.225495503092105,-41.07245860629614,19.233449547954223,19.005585861929468,40.41009440635296,40.209046863079294,-13.332211136002426,-13.344040942228578,19.233449547954223,19.005585861929468
18.25,10.063814868531471,10.096225780989737,-41.32014946657868,-41.37625841633957,19.077347368430186,19.355729482549833,40.5093111463478,40.477829229559475,-12.947232466337134,-12.955151445969609,19.07734736843019,19.355729482549833
18.5,9.673763636539569,9.735500558216977,-41.70521551108101,-41.83085324428335,18.030685243028394,18.499570923707196,40.90679708845514,41.03367845840583,-12.630940155064714,-12.61247745149258,18.030685243028397,18.499570923707196
18.75,9.343040670137297,9.295795987116357,-41.712356775192745,-41.62776074604345,17.149242238855727,17.323736384836018,41.007140209825664,41.055617470762556,-12.067624428718569,-11.925105413482708,17.149242238855724,17.323736384836018
19.0,8.94988925282861,8.933743931619603,-41.90866839316781,-41.79945967633982,15.952904410542356,15.72844417780126,41.24011529965449,41.06431304685398,-11.64860031762848,-11.692559946764522,15.952904410542363,15.72844417780126
19.25,8.507677272436295,8.278989447253606,-42.6746137428105,-42.85901771433612,14.498411254526527,15.202184495579074,41.960739541602386,41.869548589956125,-11.52386963615932,-11.445744820791177,14.498411254526536,15.202184495579074
19.5,8.163487740790435,8.04965912627345,-42.957658730171815,-43.09266957862386,13.966924098840732,14.021085423758322,42.299940854376224,42.698136408703476,-11.077814603224388,-11.075241233589988,13.966924098840728,14.021085423758322
19.75,7.61929777088032,7.564977640189589,-42.554059283924204,-42.852030640351856,12.80655334975651,13.414810342012505,41.930516930349604,41.9374534552702,-10.52299451897252,-10.657011869654816,12.80655334975651,13.414810342012505
20.0,7.029925107890121,7.019491559330255,-42.638719519246195,-43.04970999085539,12.789690905918153,13.242134298815833,41.988179339515575,42.038990488579806,-10.22120521410708,-10.139961414836229,12.789690905918155,13.242134298815833
20.25,6.345640726473445,6.3866977995678065,-43.59125975308183,-43.590267703087136,10.649979189202798,11.181980791652864,42.82169968104686,43.24945178692768,-10.33281841387979,-10.273877631963016,10.649979189202798,11.181980791652864
20.5,5.689409815456894,5.4404646791569995,-43.55349633347136,-43.715404205312836,10.400103218280693,10.74270428634383,42.76098531444535,42.68107185213418,-10.038653179697185,-10.111030038961747,10.400103218280695,10.74270428634383
20.75,5.035637493989031,4.992422377972616,-43.84820922741529,-43.96591984900056,8.459913713011838,8.042881718110273,43.020880783860356,43.120994953145384,-9.860371011556794,-9.830117770579895,8.45991371301184,8.042881718110273
21.0,4.295713296515953,4.216721865549154,-44.19124300158476,-44.214692641098026,7.669062726819262,8.13577126133724,43.310585127085176,43.564364671023945,-9.773040628770973,-9.781037445096661,7.669062726819259,8.13577126133724
21.25,3.9300288247793196,4.09222548580988,-44.70480858492688,-45.16821501530465,6.864597922398136,7.688719301808581,43.88795359740414,44.21314765275072,-9.370836073974282,-9.515289053807207,6.8645979223981355,7.688719301808581
21.5,2.9494378977051605,2.8071230166604106,-44.13822838161691,-44.22014271825874,4.861373338685179,6.21945939275642,43.25973710898201,43.002011853366604,-9.245406137854273,-9.282850978128305,4.861373338685178,6.21945939275642
21.75,2.2130234452817636,1.8054310664821234,-44.79023764669009,-45.13817325314043,4.220081593442757,4.507722718636387,43.88602269157687,44.15290347672256,-9.223875565635355,-9.507538841186582,4.220081593442758,4.507722718636387
22.0,1.3476792677037812,1.3751851045485446,-45.07133531965479,-44.97245004968382,2.7252419440942544,3.8173058323594153,44.138811408267664,43.946305653204945,-9.219915284104646,-9.349011905117383,2.725241944094254,3.8173058323594153
22.25,0.4141152788245219,0.461590742289814,-45.51612987723194,-45.45283730672996,2.8257129120365767,3.0800795721629823,44.555322834818774,44.57887006235977,-9.311968503231325,-9.277105908567856,2.8257129120365763,3.0800795721629823
22.5,-0.08276653827034208,0.07474161389998037,-45.3717859969278,-45.45559429120742,1.6916049992125175,1.786717285222324,44.500485677090154,44.62097574325192,-8.849439521476327,-8.931039739418907,1.691604999212518,1.786717285222324
22.75,-1.0373012350416537,-0.7892491744141041,-45.71988100521044,-46.02054130054309,-0.5916053889018,1.665725181867669,44.85121884032771,45.33871647023758,-8.93037959252511,-8.922783183290427,-0.5916053889018,1.665725181867669
23.0,-1.2033506199850574,-0.9953229271169044,-46.24101626445969,-46.79384575651562,-1.0367025957852232,0.11707425640484834,45.51520715677578,46.08850619687674,-8.248973617091217,-8.074612932764833,-1.0367025957852234,0.11707425640484834
23.25,-1.747064792603529,-1.6824957603421522,-47.26158552641829,-47.63351550595824,-2.6006540756368186,-2.0049455636559763,46.61472504178417,47.013547216727446,-7.986056659559861,-7.741737796021797,-2.6006540756368177,-2.0049455636559763
23.5,-1.5989978391418935,-1.5499696896357946,-46.413361657143085,-46.665160089056,-2.8237636882975505,-1.756820775709035,45.94239007490342,46.28877428319983,-6.786290917478641,-6.61557863916582,-2.823763688297549,-1.756820775709035
23.75,-2.0827435751768273,-2.1579321350225236,-48.083354968039245,-48.32740296800567,-3.3911326749854247,-2.3462100410643165,47.69031746497055,47.95443337795328,-6.479232912989662,-6.5649932213599325,-3.3911326749854256,-2.3462100410643165
24.0,-1.804676720580784,-1.7508045318248078,-47.44452533436667,-47.393519679235126,-5.118946722525404,-3.8659419391870693,47.19532745706599,47.246241745056764,-5.180823435738033,-5.217618797416728,-5.118946722525405,-3.8659419391870693
24.25,-2.1391604394900643,-2.420492303768474,-49.19913293523545,-49.217877615239175,-7.60317329795736,-7.202692121391644,49.02643502794988,49.06973128680204,-4.6410508389381695,-4.893768330282061,-7.60317329795736,-7.202692121391644
24.5,-1.9946188640953284,-1.9364128272978187,-48.86728999212238,-48.88404861687237,-7.1161754900725525,-6.4460107120888495,48.783429890194505,48.84215354309026,-3.488194346902676,-3.3503118157248792,-7.116175490072551,-6.4460107120888495
24.75,-2.1601310803779388,-2.419811498583446,-47.95092355822547,-48.273784911485365,-7.377089415652035,-5.715912213487297,47.926160650878174,48.25442169352468,-2.653368515826672,-2.898877552752954,-7.377089415652035,-5.715912213487297
25.0,-2.104040793233425,-1.8843677068222666,-47.4926348963167,-47.591412226317466,-10.459094475125903,-9.4390428380532,47.51124360020162,47.631551814951195,-1.6306722626195462,-1.4284413228024513,-10.459094475125903,-9.4390428380532
25.25,-2.0979282048664816,-1.8862944780329718,-48.79337996516633,-49.28986010588679,-12.260363399105634,-9.221192307848185,48.83446234928115,49.28733244988311,-0.6249278380269702,-0.4439735091415741,-12.260363399105627,-9.221192307848185
25.5,-2.25025203262629,-2.4168204997027387,-49.10754398885489,-48.92546788306273,-9.739918490077079,-8.545775400732456,49.15856564549172,49.086527537690095,0.2234122012549217,0.20229770904265743,-9.739918490077079,-8.545775400732456
25.75,-2.288318779999982,-2.0703180243374124,-49.511091957793724,-50.172668550087664,-11.970015347093353,-10.145508266085582,49.54935375723829,50.350484235643606,1.2025757610648218,1.5009756957645357,-11.970015347093359,-10.145508266085582
26.0,-2.662049699960816,-2.604626060345846,-49.00771500044285,-49.86041288502685,-13.128269127886599,-13.593271608724201,49.04771164681196,49.98072595462757,1.778934861845204,2.0993324879716244,-13.128269127886595,-13.593271608724201
26.25,-3.0218014038023338,-3.129233862074491,-48.93994731624886,-48.60552855226642,-16.536724863961123,-15.628547744519294,48.974601443762985,48.5603466166845,2.3954403482875173,2.182636047376672,-16.536724863961123,-15.628547744519294
26.5,-2.980974724068547,-3.0022358060670884,-49.91126298411025,-50.22434074771009,-15.92565627646553,-13.56286221268498,49.87473546280417,50.19292645917796,3.5399351014166234,3.659092481986755,-15.925656276465531,-13.56286221268498
26.75,-3.5058405129374535,-3.6909711571401833,-48.73629781164476,-49.13705745534209,-17.49220572791589,-16.38975126374901,48.71127705065942,49.13807525170957,3.8378610690607826,3.663424355697602,-17.492205727915902,-16.38975126374901
27.0,-3.3771247905783626,-3.3560615118477664,-50.105320190442995,-50.29565217276355,-18.518595802686363,-16.495324038370576,49.95277582135305,50.03726522914587,5.16413209785474,5.223591569870148,-18.51859580268636,-16.495324038370576
